"Team","X2004.05_Platzierung","X2005.06_Platzierung","X2006.07_Platzierung","X2007.08_Platzierung","X2008.09_Platzierung","X2009.10_Platzierung","X2010.11_Platzierung","X2011.12_Platzierung","X2012.13_Platzierung","X2013.14_Platzierung","X2014.15_Platzierung","X2015.16_Platzierung","X2016.17_Platzierung","X2017.18_Platzierung","X2018.19_Platzierung","X2019.20_Platzierung","X2020.21_Platzierung","X2021.22_Platzierung","X2022.23_Platzierung","X2023.24_Platzierung","X2024.25_Platzierung","X2004.05_Punkte","X2005.06_Punkte","X2006.07_Punkte","X2007.08_Punkte","X2008.09_Punkte","X2009.10_Punkte","X2010.11_Punkte","X2011.12_Punkte","X2012.13_Punkte","X2013.14_Punkte","X2014.15_Punkte","X2015.16_Punkte","X2016.17_Punkte","X2017.18_Punkte","X2018.19_Punkte","X2019.20_Punkte","X2020.21_Punkte","X2021.22_Punkte","X2022.23_Punkte","X2023.24_Punkte","X2024.25_Punkte","X2004.05_Spiele","X2005.06_Spiele","X2006.07_Spiele","X2007.08_Spiele","X2008.09_Spiele","X2009.10_Spiele","X2010.11_Spiele","X2011.12_Spiele","X2012.13_Spiele","X2013.14_Spiele","X2014.15_Spiele","X2015.16_Spiele","X2016.17_Spiele","X2017.18_Spiele","X2018.19_Spiele","X2019.20_Spiele","X2020.21_Spiele","X2021.22_Spiele","X2022.23_Spiele","X2023.24_Spiele","X2024.25_Spiele","X2004.05_Siege","X2005.06_Siege","X2006.07_Siege","X2007.08_Siege","X2008.09_Siege","X2009.10_Siege","X2010.11_Siege","X2011.12_Siege","X2012.13_Siege","X2013.14_Siege","X2014.15_Siege","X2015.16_Siege","X2016.17_Siege","X2017.18_Siege","X2018.19_Siege","X2019.20_Siege","X2020.21_Siege","X2021.22_Siege","X2022.23_Siege","X2023.24_Siege","X2024.25_Siege","X2004.05_Unentschieden","X2005.06_Unentschieden","X2006.07_Unentschieden","X2007.08_Unentschieden","X2008.09_Unentschieden","X2009.10_Unentschieden","X2010.11_Unentschieden","X2011.12_Unentschieden","X2012.13_Unentschieden","X2013.14_Unentschieden","X2014.15_Unentschieden","X2015.16_Unentschieden","X2016.17_Unentschieden","X2017.18_Unentschieden","X2018.19_Unentschieden","X2019.20_Unentschieden","X2020.21_Unentschieden","X2021.22_Unentschieden","X2022.23_Unentschieden","X2023.24_Unentschieden","X2024.25_Unentschieden","X2004.05_Niederlagen","X2005.06_Niederlagen","X2006.07_Niederlagen","X2007.08_Niederlagen","X2008.09_Niederlagen","X2009.10_Niederlagen","X2010.11_Niederlagen","X2011.12_Niederlagen","X2012.13_Niederlagen","X2013.14_Niederlagen","X2014.15_Niederlagen","X2015.16_Niederlagen","X2016.17_Niederlagen","X2017.18_Niederlagen","X2018.19_Niederlagen","X2019.20_Niederlagen","X2020.21_Niederlagen","X2021.22_Niederlagen","X2022.23_Niederlagen","X2023.24_Niederlagen","X2024.25_Niederlagen","X2004.05_Tore","X2005.06_Tore","X2006.07_Tore","X2007.08_Tore","X2008.09_Tore","X2009.10_Tore","X2010.11_Tore","X2011.12_Tore","X2012.13_Tore","X2013.14_Tore","X2014.15_Tore","X2015.16_Tore","X2016.17_Tore","X2017.18_Tore","X2018.19_Tore","X2019.20_Tore","X2020.21_Tore","X2021.22_Tore","X2022.23_Tore","X2023.24_Tore","X2024.25_Tore","X2004.05_Gegentore","X2005.06_Gegentore","X2006.07_Gegentore","X2007.08_Gegentore","X2008.09_Gegentore","X2009.10_Gegentore","X2010.11_Gegentore","X2011.12_Gegentore","X2012.13_Gegentore","X2013.14_Gegentore","X2014.15_Gegentore","X2015.16_Gegentore","X2016.17_Gegentore","X2017.18_Gegentore","X2018.19_Gegentore","X2019.20_Gegentore","X2020.21_Gegentore","X2021.22_Gegentore","X2022.23_Gegentore","X2023.24_Gegentore","X2024.25_Gegentore","X2004.05_Torverhältnis","X2005.06_Torverhältnis","X2006.07_Torverhältnis","X2007.08_Torverhältnis","X2008.09_Torverhältnis","X2009.10_Torverhältnis","X2010.11_Torverhältnis","X2011.12_Torverhältnis","X2012.13_Torverhältnis","X2013.14_Torverhältnis","X2014.15_Torverhältnis","X2015.16_Torverhältnis","X2016.17_Torverhältnis","X2017.18_Torverhältnis","X2018.19_Torverhältnis","X2019.20_Torverhältnis","X2020.21_Torverhältnis","X2021.22_Torverhältnis","X2022.23_Torverhältnis","X2023.24_Torverhältnis","X2024.25_Torverhältnis","X2004.05_Marktwert","X2005.06_Marktwert","X2006.07_Marktwert","X2007.08_Marktwert","X2008.09_Marktwert","X2009.10_Marktwert","X2010.11_Marktwert","X2011.12_Marktwert","X2012.13_Marktwert","X2013.14_Marktwert","X2014.15_Marktwert","X2015.16_Marktwert","X2016.17_Marktwert","X2017.18_Marktwert","X2018.19_Marktwert","X2019.20_Marktwert","X2020.21_Marktwert","X2021.22_Marktwert","X2022.23_Marktwert","X2023.24_Marktwert","X2024.25_Marktwert","X2004.05_Kaderbreite","X2005.06_Kaderbreite","X2006.07_Kaderbreite","X2007.08_Kaderbreite","X2008.09_Kaderbreite","X2009.10_Kaderbreite","X2010.11_Kaderbreite","X2011.12_Kaderbreite","X2012.13_Kaderbreite","X2013.14_Kaderbreite","X2014.15_Kaderbreite","X2015.16_Kaderbreite","X2016.17_Kaderbreite","X2017.18_Kaderbreite","X2018.19_Kaderbreite","X2019.20_Kaderbreite","X2020.21_Kaderbreite","X2021.22_Kaderbreite","X2022.23_Kaderbreite","X2023.24_Kaderbreite","X2024.25_Kaderbreite","X2004.05_Durchschnittsalter","X2005.06_Durchschnittsalter","X2006.07_Durchschnittsalter","X2007.08_Durchschnittsalter","X2008.09_Durchschnittsalter","X2009.10_Durchschnittsalter","X2010.11_Durchschnittsalter","X2011.12_Durchschnittsalter","X2012.13_Durchschnittsalter","X2013.14_Durchschnittsalter","X2014.15_Durchschnittsalter","X2015.16_Durchschnittsalter","X2016.17_Durchschnittsalter","X2017.18_Durchschnittsalter","X2018.19_Durchschnittsalter","X2019.20_Durchschnittsalter","X2020.21_Durchschnittsalter","X2021.22_Durchschnittsalter","X2022.23_Durchschnittsalter","X2023.24_Durchschnittsalter","X2024.25_Durchschnittsalter"
"FC Basel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BSC Young Boys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FC Zürich",3,1,1,3,1,2,2,6,4,4,3,10,NA,4,7,7,8,1,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FC St. Gallen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FC Lausanne-Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
